2.03;438529
1.81;438535
2.03;438540
2.10;438546
1.79;438552
1.87;438558
2.08;438564
1.82;438571
1.69;438576
1.94;438582
1.84;438588
1.56;438594
1.76;438600
1.84;438606
1.54;438611
1.57;438618
1.80;438624
1.61;438630
1.50;438636
1.79;438641
1.76;438647
1.52;438653
1.73;438660
1.88;438666
1.62;438672
1.65;438677
1.92;438683
1.75;438689
1.62;438695
1.91;438702
1.90;438708
1.64;438713
1.81;438719
1.97;438725
1.70;438731
1.69;438737
1.96;438744
1.80;438749
1.62;438755
1.89;438761
1.90;438767
1.63;438773
1.82;438779
2.01;438785
1.76;438791
1.72;438797
1.96;438803
1.81;438809
1.57;438815
1.80;438820
1.83;438827
1.55;438833
1.66;438839
1.88;438845
1.66;438851
1.61;438856
1.92;438862
1.80;438868
1.55;438875
1.72;438881
1.70;438887
1.32;438892
1.38;438898
1.97;438904
2.39;438910
2.94;438917
3.21;438923
2.57;438928
1.85;438934
1.81;438940
1.87;438946
1.55;438952
1.55;438959
1.76;438964
1.55;438970
1.45;438976
1.75;438982
1.74;438988
1.51;438994
1.72;439000
1.86;439006
1.59;439012
1.63;439018
1.88;439024
1.70;439030
1.58;439035
1.89;439042
1.90;439048
1.66;439054
1.86;439060
2.04;439066
1.79;439071
1.80;439077
2.08;439084
1.93;439090
1.76;439096
2.03;439102
2.03;439107
1.73;439113
1.86;439119
2.02;439126
1.74;439132
1.71;439138
1.94;439143
1.77;439149
1.55;439155
1.79;439161
1.81;439168
1.52;439174
1.62;439179
1.83;439185
1.59;439191
1.52;439197
1.81;439203
1.72;439209
1.51;439215
1.75;439221
1.83;439227
1.55;439233
1.66;439239
1.89;439245
1.67;439250
1.60;439257
1.88;439263
1.81;439269
1.59;439275
1.80;439280
1.91;439286
1.64;439292
1.72;439299
1.96;439305
1.73;439311
1.62;439316
1.90;439322
1.84;439328
1.59;439334
1.80;439341
1.92;439347
1.64;439352
1.67;439358
1.93;439364
1.76;439370
1.66;439376
1.95;439383
1.91;439388
1.63;439394
1.79;439400
1.92;439406
1.61;439412
1.60;439418
1.87;439424
1.73;439430
1.56;439436
1.80;439442
1.81;439448
1.54;439454
1.70;439459
1.86;439465
1.54;439472
1.42;439478
1.59;439484
1.46;439490
1.56;439495
